Literature,"written works, especially those considered of superior or lasting artistic merit."
Language,"the method of human communication, either spoken or written, consisting of the use of words in a structured and conventional way"
History,"the study of past events, particularly in human affairs."
Psychology,"the scientific study of the human mind and its functions, especially those affecting behavior in a given context"
Sociology,"the study of the development, structure, and functioning of human society."
Physics,"the branch of science concerned with the nature and properties of matter and energy. The subject matter of physics, distinguished from that of chemistry and biology, includes mechanics, heat, light and other radiation, sound, electricity, magnetism, and the structure of atoms."
Environmental Science,"is the science of the interactions between the physical, chemical, and biological components of the environment, including their effects on all types of organisms but more often refers to human impact on the environment."
Health and Wellness,is an active process of becoming aware of and making choices toward a healthy and fulfilling life. 
Computer Science,the study of the principles and use of computers
Philosophy,"the study of the fundamental nature of knowledge, reality, and existence, especially when considered as an academic discipline."
Music,"vocal or instrumental sounds (or both) combined in such a way as to produce beauty of form, harmony, and expression of emotion"
Art,"the expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power"
Photography,the art or practice of taking and processing photographs.
New Media,means of mass communication using digital technologies such as the Internet.
Physical Education,"instruction in physical exercise and games, especially in schools."
Culinary Arts,"in which culinary means ""related to cooking"", is the art of the preparation, cooking and presentation of food, usually in the form of meals."
Carpentry,the activity or occupation of making or repairing things in wood.
